,eLower,eUpper,dead_asymmetry_thrown_beta,dead_asymmetry_type0_beta,dead_corrected_asymmetry_type0_beta,withoutdead_asymmetry_thrown_beta,withoutdead_asymmetry_type0_beta,withoutdead_corrected_asymmetry_type0_beta,err_dead_asymmetry_thrown_beta,err_dead_asymmetry_type0_beta,err_dead_corrected_asymmetry_type0_beta,err_withoutdead_asymmetry_thrown_beta,err_withoutdead_asymmetry_type0_beta,err_withoutdead_corrected_asymmetry_type0_beta,dead_correction_misbs,dead_correction_misbs_thrown,withoutdead_correction_misbs,withoutdead_correction_misbs_thrown,err_dead_correction_misbs,err_dead_correction_misbs_thrown,err_withoutdead_correction_misbs,err_withoutdead_correction_misbs_thrown,dead_precision_type0_corrected_asymmetry,withoutdead_precision_type0_corrected_asymmetry,dead_precision_type0_correction,withoutdead_precision_type0_correction,dead_KE;1,dead_EdepType0;1,dead_EdepType1;1,withoutdead_KE;1,withoutdead_EdepType0;1,withoutdead_EdepType1;1,dead_weighted_corrected_asymmetry_type0,withoutdead_weighted_corrected_asymmetry_type0,dead_err_weight,withoutdead_err_weight,err_dead_weighted_corrected_asymmetry_type0,err_withoutdead_weighted_corrected_asymmetry_type0
10,275,600,-0.11642386304720337,-0.11691837088575865,-0.11785048278628579,-0.11784657136913547,-0.1186266825286075,-0.11898233061672359,0.0013323914609529172,0.0013842387063249157,0.0014415125278731704,0.0011870271139096632,0.0013490794166236403,0.0012821515116820806,0.007937489952790441,0.008237641960396076,0.002983068566281968,0.018374068792793585,0.0026285890259102065,0.009772735630081542,0.002334220281891958,0.008115396655450706,-0.01223170659798874,-0.010775982492831314,0.3311612413425633,0.7824896511853495,93365342.0,89995516.0,1365308.0,93365009.0,90161297.0,1385057.0,-0.11359691703588369,-0.11489958993616772,0.00019409620864735497,0.00019472310328034968,-0.00016105562797762892,-0.00014456202787360207
11,300,600,-0.11650819050036841,-0.11722528749119082,-0.11825645909809529,-0.11805114329858071,-0.11921157267046832,-0.11932947244054554,0.0016252739656623615,0.0016810889218225732,0.0017438436257293946,0.0014432284508668542,0.0016087113419427073,0.0015521363679971776,0.008758238483954489,0.0042175613611503,0.0009655450069854783,0.019416109784380627,0.003167033342622886,0.012192492528048734,0.0025602978151957503,0.010403251143174013,-0.014746286494870047,-0.013007150172146372,0.36160620065610705,2.651660768449561,83371525.0,80194855.0,1229995.0,83366281.0,80347272.0,1247320.0,-0.11375058318994624,-0.11500809997506085,0.00020465244410506389,0.00020536171646487721,-0.0001955012488712469,-0.00017558400170207623
12,50,625,-0.11759638788270951,-0.11821856286640925,-0.12019580107149624,-0.11675882023682696,-0.11719213349848857,-0.11915949315684826,0.0005625018138629928,0.0005874966577014473,0.0006121895567510498,0.000563842933787175,0.0005945398511960176,0.0005317387538733211,0.016572928953953046,0.015045956591819726,0.016489442552585505,0.018192594944523244,0.002342474425942149,0.004187961126201028,0.002745422971007746,0.0028913012693453717,-0.005093269076736718,-0.004462412014235404,0.14134341807960335,0.1664958025265245,176837738.0,173388947.0,2043270.0,176834142.0,173734398.0,2074216.0,-0.11785167361509796,-0.11707073405310017,0.00014530450732526157,0.00014581783476422442,-7.004834516984498e-05,-6.018058101967408e-05
13,75,625,-0.11755277092908775,-0.11828604869632488,-0.1200239000492885,-0.11709826037857737,-0.11756836048862952,-0.11928255731874186,0.0005952690611326544,0.0006214664151674723,0.0006337784727756694,0.0005200991381094986,0.0005456247811241938,0.0005552825131091904,0.014605165851722312,0.014277395414675766,0.014433055093789974,0.017732178637355444,0.0018087433604055975,0.004265574193907069,0.002252998343404015,0.002862832092459466,-0.0052804355842078505,-0.004655186186404334,0.1238427128297418,0.15609989214088146,170400683.0,166683348.0,2043270.0,170394824.0,166982539.0,2074216.0,-0.1174055476070643,-0.11689383404918773,0.00014741357531926547,0.00014788802487039653,-7.228550752298267e-05,-6.280490254161342e-05
14,100,625,-0.11762147877675058,-0.11847946809003558,-0.11999500877852921,-0.1171183387668837,-0.11773601444341672,-0.11922462841456427,0.0006392972086921865,0.0006554434642855735,0.0006837776826904448,0.000560170414947153,0.0005758384810270623,0.0005978806711211531,0.012763726293439193,0.013431932556749297,0.012555297227863107,0.017298864540452367,0.001365848439920103,0.00440573226724309,0.001971657175508295,0.0029847927601895936,-0.005698384371573908,-0.005014741325443435,0.1070101636872436,0.15703787331555416,162904327.0,159005111.0,2043270.0,162901562.0,159283524.0,2074216.0,-0.11712285389617681,-0.11657665358336054,0.0001501962065083152,0.00015066210460668508,-7.792334816876523e-05,-6.755733958449853e-05
15,125,625,-0.11765906394792292,-0.11844672401780726,-0.11986304152362548,-0.11696721239918588,-0.11769365818425626,-0.11895347474163956,0.0006987888575161294,0.0007178058295258212,0.0007438271446869956,0.0006038505566047738,0.0006302928842995381,0.0006287563642511481,0.011931841857813845,0.012537349170271106,0.010639657121480519,0.016824718662603246,0.0013846633718504508,0.0045247046640139125,0.001718125013694,0.003112542880964398,-0.006205642166525404,-0.00528573348207585,0.11604774756075666,0.1614831186829563,154578107.0,150578297.0,2021148.0,154576720.0,150838150.0,2051174.0,-0.11676150663345755,-0.11607648335467746,0.00015365281638458176,0.00015411983263720615,-8.464282522376609e-05,-7.080304293624029e-05
16,150,625,-0.11772503396027097,-0.11878795483965766,-0.12008844624401015,-0.11684127809420569,-0.11783840788027881,-0.11891335321798495,0.0007741460239011969,0.0007670226907998565,0.0008138541387590719,0.0006649958632603303,0.0006942580774358838,0.0006982650297673421,0.010948670128308156,0.012206146363967944,0.009085442243284104,0.017170641029477993,0.0013943526097212186,0.0052338809196581315,0.0016176534284841513,0.0034656466205242446,-0.006777122730902731,-0.005872048940435847,0.12735360490184766,0.17804894744445815,145603487.0,141566681.0,1962845.0,145601948.0,141811370.0,1991389.0,-0.11675903586849835,-0.11581758185773966,0.00015779239447846202,0.00015827328422782385,-9.274926338952788e-05,-7.863332197850342e-05
17,175,625,-0.11807634657511742,-0.11879650107504562,-0.12000417401652823,-0.11692237600296063,-0.11771647597658443,-0.11877493030538736,0.0008426566598217036,0.0008640614929596644,0.0009153468309507395,0.0007462637964273685,0.0007784604957646213,0.000781949974349703,0.010171215738433255,0.011144161036271876,0.008948001572368431,0.016555290227292168,0.0014931439182499374,0.005300375464883778,0.001820756384297778,0.0036013355631047774,-0.007627624942651314,-0.0065834597615776124,0.1468009288808908,0.2034819025870874,136140665.0,132118491.0,1878972.0,136140088.0,132346106.0,1905990.0,-0.11645874055900285,-0.1154648843501512,0.00016265065163785077,0.0001631423898539545,-0.0001042578067832168,-8.79862346900408e-05
18,190,625,-0.11748846497870666,-0.11804962728735735,-0.11912780862702806,-0.11664028008777666,-0.11743385628413495,-0.11826878882444447,0.0008910261909118332,0.0008764482611448203,0.0008999496540964417,0.0008330337676155966,0.0008719918773897113,0.0008382731568743208,0.009109696208634834,0.00987487597995438,0.007067529507641768,0.01593071279604072,0.0015860468457192093,0.005502491114254255,0.0017407361176617852,0.003783786861571117,-0.007554488447899297,-0.007087864560096532,0.17410534988157328,0.24630050936180933,126334331.0,122368599.0,1777237.0,126334467.0,122583962.0,1802273.0,-0.11538829491747209,-0.11475773048570923,0.00016828413071488674,0.00016880179017794673,-0.00010145546283081488,-9.383720888785428e-05
19,200,625,-0.11748846497870666,-0.11804962728735735,-0.11912780862702806,-0.11664028008777666,-0.11743385628413495,-0.11826878882444447,0.0008910261909118332,0.0008764482611448203,0.0008999496540964417,0.0008330337676155966,0.0008719918773897113,0.0008382731568743208,0.009109696208634834,0.00987487597995438,0.007067529507641768,0.01593071279604072,0.0015860468457192093,0.005502491114254255,0.0017407361176617852,0.003783786861571117,-0.007554488447899297,-0.007087864560096532,0.17410534988157328,0.24630050936180933,126334331.0,122368599.0,1777237.0,126334467.0,122583962.0,1802273.0,-0.11538829491747209,-0.11475773048570923,0.00016828413071488674,0.00016880179017794673,-0.00010145546283081488,-9.383720888785428e-05
