,eLower,eUpper,dead_asymmetry_thrown_beta,dead_asymmetry_type0_beta,dead_corrected_asymmetry_type0_beta,withoutdead_asymmetry_thrown_beta,withoutdead_asymmetry_type0_beta,withoutdead_corrected_asymmetry_type0_beta,err_dead_asymmetry_thrown_beta,err_dead_asymmetry_type0_beta,err_dead_corrected_asymmetry_type0_beta,err_withoutdead_asymmetry_thrown_beta,err_withoutdead_asymmetry_type0_beta,err_withoutdead_corrected_asymmetry_type0_beta,dead_correction_misbs,dead_correction_misbs_thrown,withoutdead_correction_misbs,withoutdead_correction_misbs_thrown,err_dead_correction_misbs,err_dead_correction_misbs_thrown,err_withoutdead_correction_misbs,err_withoutdead_correction_misbs_thrown,dead_precision_type0_corrected_asymmetry,withoutdead_precision_type0_corrected_asymmetry,dead_precision_type0_correction,withoutdead_precision_type0_correction,dead_KE;1,dead_EdepType0;1,dead_EdepType1;1,withoutdead_KE;1,withoutdead_EdepType0;1,withoutdead_EdepType1;1,dead_weighted_corrected_asymmetry_type0,withoutdead_weighted_corrected_asymmetry_type0,dead_err_weight,withoutdead_err_weight,dead_err_weight_asymmetry,withoutdead_err_weight_asymmetry,err_dead_weighted_corrected_asymmetry_type0,err_withoutdead_weighted_corrected_asymmetry_type0
10,300,600,-0.11650819050036841,-0.1174901520517849,-0.11837183042830413,-0.11805114329858071,-0.11961847650413499,-0.11961398343338195,0.0016252739656623615,0.0016875968231258212,0.0017441349847265243,0.0014432284508668542,0.0016339401805411911,0.0015600708648169184,0.007481639547417238,0.00631031874648385,-7.245900429675617e-05,0.020908848874209296,0.003058897192419287,0.011755383892879263,0.0025964418955547026,0.010515021841261922,-0.014734375386574074,-0.013042545863258433,0.4088538579054185,-35.833253862017806,83371525.0,80045819.0,1409894.0,83366281.0,80176612.0,1450067.0,-0.11364995558330887,-0.1150374446895705,0.0002039882722578576,0.00020460001616690125,-0.00019536260226455502,-0.00017653925006216748,-0.00019536260226455502,-0.00017653925006216748
11,50,625,-0.11759638788270951,-0.11910482554099218,-0.12040588310762916,-0.11675882023682696,-0.1181700238836793,-0.11942375861000991,0.0005625018138629928,0.0005885719263846403,0.0006158934598190518,0.000563842933787175,0.0005457871702035478,0.0005420878813893103,0.010914477238806222,0.016658997241845542,0.010547530636131185,0.020833958606418387,0.0012982622125968111,0.004105894233916236,0.0016138955367445986,0.003029689264039651,-0.005115144243147265,-0.004539196284715438,0.11894863896741328,0.15301169462510067,176837738.0,172552033.0,2977687.0,176834142.0,172823804.0,3092534.0,-0.11748781764773406,-0.11671540358399604,0.00014408032037691162,0.00014448394747622887,-7.027116300391135e-05,-6.120937086557015e-05,-7.027116300391135e-05,-6.120937086557015e-05
12,75,625,-0.11755277092908775,-0.11906668672282796,-0.12025743010425698,-0.11709826037857737,-0.11840043599334546,-0.11955971386389662,0.0005952690611326544,0.0006240273281292042,0.0006414604066393055,0.0005200991381094986,0.0005451853942674946,0.000563800598520199,0.009998380341409773,0.015816062780423676,0.00975907041897013,0.020286990050585017,0.0011326029366702044,0.004196082369197874,0.001563510401666001,0.0030047263611416844,-0.005334060490758804,-0.004715640246195417,0.11327864093940912,0.16021099700508132,170400683.0,165997345.0,2875329.0,170394824.0,166233595.0,2977256.0,-0.11714984800753253,-0.116639934161186,0.00014635440596298067,0.00014673012606007012,-7.303043374863687e-05,-6.366422720991795e-05,-7.303043374863687e-05,-6.366422720991795e-05
13,100,625,-0.11762147877675058,-0.11910252192940053,-0.1202203857842677,-0.1171183387668837,-0.11843324253057128,-0.11948712014749034,0.0006392972086921865,0.0006727363265385127,0.000691524648267647,0.000560170414947153,0.0005877033476561818,0.0006059042129972454,0.009388535672416038,0.014912965769855843,0.008876420187748757,0.019798022910737272,0.0011333318466812767,0.004321550610655895,0.001551351467365173,0.0031291263055427503,-0.005752141317434879,-0.005070874687157414,0.12071444219049615,0.17477219808795774,162904327.0,158435100.0,2750017.0,162901562.0,158658820.0,2841691.0,-0.11692217876919274,-0.11637509950824808,0.0001492560888071051,0.00014963046408707212,-7.8697379079033e-05,-6.837586322559518e-05,-7.8697379079033e-05,-6.837586322559518e-05
14,125,625,-0.11765906394792292,-0.11897993667268232,-0.12003860246338065,-0.11696721239918588,-0.11830758774470672,-0.11920770742388034,0.0006987888575161294,0.0007320834567974547,0.0007472327361374955,0.0006038505566047738,0.0006379938022691428,0.000635832217409644,0.008897310115847112,0.013971179524321963,0.00758972886690351,0.01927961212429871,0.0011961768618129478,0.004399102269907535,0.0014568593100935958,0.00326811666898707,-0.0062249369852956146,-0.00533381801521225,0.1344425277121028,0.19195143010266338,154578107.0,150099261.0,2608332.0,154576720.0,150310094.0,2691267.0,-0.11656052639605824,-0.1159173367658982,0.00015279925365616206,0.00015317775044218547,-8.489611596158827e-05,-7.152724829450419e-05,-8.489611596158827e-05,-7.152724829450419e-05
15,150,625,-0.11772503396027097,-0.11926335807675907,-0.12026783500397047,-0.11684127809420569,-0.11835547910696245,-0.11916474493519236,0.0007741460239011969,0.0007926335167192048,0.0008169614121956193,0.0006649958632603303,0.0007081178135914428,0.000705846181409258,0.00843212073692538,0.013791053344531259,0.00682479643437682,0.019674044992236867,0.001291223162611249,0.005089848164174038,0.0015398828040193062,0.003634153108657924,-0.0067928504089946285,-0.0059232802603918795,0.15313148410657962,0.22563058383145967,145603487.0,141160817.0,2455942.0,145601948.0,141361864.0,2530876.0,-0.11659820927215617,-0.11569454048185777,0.00015700240942419255,0.0001573972508394844,-9.298529957026395e-05,-7.942747143280457e-05,-9.298529957026395e-05,-7.942747143280457e-05
16,175,625,-0.11807634657511742,-0.11920467760048334,-0.12015602912626831,-0.11692237600296063,-0.11821057186100621,-0.11903280488614838,0.0008426566598217036,0.0008919762458016424,0.0009175005456812343,0.0007462637964273685,0.0007924547256816051,0.0007907507857627734,0.007989380202649072,0.01265227324030224,0.006938396616815854,0.019010973484747045,0.0014276365399323175,0.005130266745906122,0.0017338109322847018,0.0037961565308587764,-0.007635909345148722,-0.006643133264977708,0.17869177629811012,0.24988639710832453,136140665.0,131773318.0,2295523.0,136140088.0,131961593.0,2364205.0,-0.11630146389892407,-0.11537937710187408,0.00016190856145482127,0.0001623146932535799,-0.00010436910637583055,-8.893652727610797e-05,-0.00010436910637583055,-8.893652727610797e-05
17,200,625,-0.11748846497870666,-0.11840200534530844,-0.11926928266438194,-0.11664028008777666,-0.11787661410762351,-0.1184934504010723,0.0008910261909118332,0.0008941602699049479,0.0008985799236374264,0.0008330337676155966,0.0008814808779185338,0.0008411296482510964,0.007307337383061384,0.01133146945675028,0.00521205492737649,0.018316069375171717,0.0015825017676949008,0.00532516439714124,0.0016834718898371844,0.003989188574962016,-0.007534043163200598,-0.0070985328337057575,0.21656339166208266,0.322995807468316,126334331.0,122074302.0,2130923.0,126334467.0,122253997.0,2193571.0,-0.11524748907163744,-0.11466623696486836,0.0001675773372155474,0.0001680083335963216,-0.00010117526519562497,-9.409021732665333e-05,-0.00010117526519562497,-9.409021732665333e-05
18,225,625,-0.11659216713225179,-0.11767330415475077,-0.1186321095077988,-0.11663130731385259,-0.11807857465542561,-0.11874997261161815,0.0008764366185598876,0.000937703013162403,0.0009668201925649401,0.0009622894495259376,0.0010123998092302845,0.0009607193509418442,0.008115512091656748,0.011559329813405144,0.005659152635488354,0.020547853585111877,0.0017716197139367206,0.006710684377844452,0.001926818568586878,0.004702417212002063,-0.008149734473881053,-0.008090270084389478,0.2183004219484875,0.34047828229686966,116309652.0,112187596.0,1963001.0,116305090.0,112354202.0,2019939.0,-0.11442774477640678,-0.11471603186326768,0.00017410678167225578,0.00017457433288199263,-0.00010818074897067633,-0.00010774814194383185,-0.00010818074897067633,-0.00010774814194383185
19,250,625,-0.11653912884679257,-0.11716747232719056,-0.11816378288362614,-0.11657723260871732,-0.1178109063300984,-0.11827209541176478,0.0010258033159354074,0.0010574675356627066,0.0010988280614110757,0.0011262941153740752,0.0011762430224137078,0.0010898215733508864,0.00845174562562663,0.009597530082017292,0.003885323349375378,0.019612441133207627,0.0020705808788249284,0.0069883334183874265,0.001998763413545365,0.004959426151776388,-0.009299195020637236,-0.009214528326032173,0.2449885468093949,0.5144394002282191,106180589.0,102224827.0,1792313.0,106180500.0,102387120.0,1845435.0,-0.11376158652636822,-0.11404673386898546,0.00018162335269067634,0.0001821279318151725,-0.00012246847490697722,-0.0001217429328768195,-0.00012246847490697722,-0.0001217429328768195
