,eLower,eUpper,dead_asymmetry_thrown_beta,dead_asymmetry_type0_beta,dead_corrected_asymmetry_type0_beta,withoutdead_asymmetry_thrown_beta,withoutdead_asymmetry_type0_beta,withoutdead_corrected_asymmetry_type0_beta,err_dead_asymmetry_thrown_beta,err_dead_asymmetry_type0_beta,err_dead_corrected_asymmetry_type0_beta,err_withoutdead_asymmetry_thrown_beta,err_withoutdead_asymmetry_type0_beta,err_withoutdead_corrected_asymmetry_type0_beta,dead_correction_misbs,dead_correction_misbs_thrown,withoutdead_correction_misbs,withoutdead_correction_misbs_thrown,err_dead_correction_misbs,err_dead_correction_misbs_thrown,err_withoutdead_correction_misbs,err_withoutdead_correction_misbs_thrown,dead_precision_type0_corrected_asymmetry,withoutdead_precision_type0_corrected_asymmetry,dead_precision_type0_correction,withoutdead_precision_type0_correction,dead_KE;1,dead_EdepType0;1,dead_EdepType1;1,withoutdead_KE;1,withoutdead_EdepType0;1,withoutdead_EdepType1;1,dead_weighted_corrected_asymmetry_type0,withoutdead_weighted_corrected_asymmetry_type0,dead_err_weight,withoutdead_err_weight,err_dead_weighted_corrected_asymmetry_type0,err_withoutdead_weighted_corrected_asymmetry_type0
10,300,600,-0.11737029859249325,-0.11866558789798816,-0.11897159912007164,-0.11805114329858071,-0.11956001566908041,-0.1195762902720794,0.0012724666311746684,0.001161804106267293,0.0013840058423309066,0.0014432284508668542,0.0016039041745025378,0.0015595158996588724,0.002621523923072278,0.008974729926490803,0.00010594029498252599,0.0207180507949164,0.0034805160794835178,0.004661258329966053,0.002583560539714217,0.010453993429957236,-0.011633077579583543,-0.013042016072838591,1.3276690129932323,24.386948706725374,83370587.0,80083044.0,1403859.0,83366281.0,80207348.0,1418535.0,-0.1142802054048517,-0.11504527983444154,0.00020415923538685037,0.0002047371053095371,-0.0001552747528419602,-0.0001764875117943842
11,50,625,-0.11760224143199048,-0.11893427402267354,-0.12040063235165784,-0.11675882023682696,-0.11800416257897957,-0.11935088670823386,0.0006520027067630223,0.0006528057494429121,0.0007789971977795182,0.000563842933787175,0.0005508308826139684,0.0005451557824874315,0.012331771401283116,0.004661872581305419,0.011323579542183633,0.02008490927861577,0.0017503179768655053,0.0027513474706832796,0.001780880185080867,0.002975778271565656,-0.006470042412271366,-0.00456767266271028,0.1419356489760575,0.15727183956685864,176833298.0,172683834.0,2911427.0,176834142.0,172952756.0,2957481.0,-0.11757538340153963,-0.11673121804290947,0.00014428094791041622,0.00014467250908531648,-8.949935252203286e-05,-6.157589154824699e-05
12,75,625,-0.11782397169881328,-0.11892444211488687,-0.12036679310497937,-0.11709826037857737,-0.1182684214110867,-0.11950005233343264,0.0006639595010934012,0.0006931073076098581,0.0008266458601585617,0.0005200991381094986,0.0005398576779835216,0.0005647832852176294,0.012132680936942971,0.004237975962153544,0.010366921873533852,0.019562610451610642,0.0018501906707949762,0.00262778366262639,0.0016875237888961518,0.0029589293977129176,-0.00686772355426627,-0.0047262178901960146,0.15249644166948334,0.16277963791781838,170399554.0,166100315.0,2824968.0,170394824.0,166341246.0,2865231.0,-0.11732989776649827,-0.1166572266432717,0.00014651535284907887,0.00014689630776829458,-9.486753567162599e-05,-6.378833387162243e-05
13,100,625,-0.11758228198441162,-0.11853023528692741,-0.11980609303637606,-0.1171183387668837,-0.11832987817817912,-0.1194171455472955,0.0006919891081544541,0.0006884410487317402,0.0007892528802017692,0.000560170414947153,0.0005807096559697692,0.0006062826684069451,0.010752716110786655,0.0037536664498446512,0.009161656964964343,0.01907156362487169,0.0017280255937838407,0.0024996493372826476,0.0015790686408444603,0.0030677732783325378,-0.0065877524272670565,-0.005077015244572439,0.16070596265908677,0.1723562284511496,162900776.0,158520201.0,2710042.0,162901562.0,158751039.0,2746347.0,-0.11658437986293592,-0.11637454974217734,0.0001494035994908328,0.00014978255515222781,-8.987009303872896e-05,-6.841990521713512e-05
14,125,625,-0.11703402630633716,-0.11812017974214858,-0.11921308576826786,-0.11696721239918588,-0.11821261283094192,-0.119135302863606,0.000656655695005774,0.0007006642214068372,0.0007647609116807826,0.0006038505566047738,0.0006310434750189006,0.0006358177951717393,0.009230603383371522,0.0029579906045759984,0.007784333174839339,0.018565607791623185,0.0015956532482651645,0.002461692365506059,0.0014539072575683138,0.003197285358077758,-0.006415075213868398,-0.005336938589056727,0.17286554106957464,0.18677351353198227,154569963.0,150168542.0,2576838.0,154576720.0,150390340.0,2608606.0,-0.11581846129536652,-0.11590877787845853,0.00015294068374957596,0.0001533207469752291,-8.639987578580027e-05,-7.152074843979836e-05
15,150,625,-0.11655094897182036,-0.11767151493391922,-0.11875314550178909,-0.11684127809420569,-0.11826672492397695,-0.1190992428799583,0.0006578028438064117,0.0007229905052431889,0.0007965010674972459,0.0006649958632603303,0.0007002284925114447,0.0007060180358928441,0.00916120611638689,0.002113499289818538,0.007024555140119369,0.018998224921171446,0.0017758178472753695,0.002440254437851019,0.0015374579448339937,0.003559231839057328,-0.006707199747271082,-0.005927980890730339,0.1938410537558933,0.21886908340331818,145596920.0,141222934.0,2430339.0,145601948.0,141432085.0,2458659.0,-0.11518559341428072,-0.1156883851748598,0.00015713913286344178,0.00015753395944750803,-8.952942341811585e-05,-7.944352560398693e-05
16,175,625,-0.11627088532812986,-0.11702126887920583,-0.11805003993830145,-0.11692237600296063,-0.11812801024918937,-0.11897165742358067,0.0007189085749296133,0.0007073598227651579,0.0007839135534359494,0.0007462637964273685,0.0007839661832348701,0.0007912386191284405,0.0087447024095515,0.0015731595946638906,0.007122276426679527,0.01836111029995216,0.001989342223645909,0.0022626707094472592,0.0017313970594060265,0.0037141134822919067,-0.006640519171748353,-0.006650648030491452,0.22749112896889748,0.24309602094638444,136136560.0,131830209.0,2275462.0,136140088.0,132023037.0,2300948.0,-0.11431581228087905,-0.11537380180028027,0.0001620417505795699,0.00016244682989938685,-8.735553125822762e-05,-8.898889372183545e-05
17,200,625,-0.11589824078037501,-0.1171310114239523,-0.11818527651771768,-0.11664028008777666,-0.11779223078153743,-0.11844234651701559,0.0007873172426103593,0.0008046884298882174,0.0008910543037550474,0.0008330337676155966,0.0008713021852041246,0.0008441080468171464,0.008949584126169315,0.015420104329487943,0.005495790476529777,0.017696141408017094,0.002265541378815186,0.0029284323400455,0.0017163899983063686,0.0039007488657008026,-0.007539469636232273,-0.007126742011109014,0.2531448776698526,0.3123099407876542,126328307.0,122119855.0,2114237.0,126334467.0,122308102.0,2138046.0,-0.11424809826255795,-0.11466750874029086,0.00016770462657742882,0.00016813832330913854,-9.94588017472606e-05,-9.443302332789919e-05
18,225,625,-0.11597273697126673,-0.11690982293078607,-0.11772265906434465,-0.11663130731385259,-0.11800355867162315,-0.11871130321578924,0.0009084188568189305,0.0009213917139199516,0.0009928686308516307,0.0009622894495259376,0.0009998641321147857,0.0009630089454113682,0.006917471790153777,0.013929901553656355,0.005967989652498958,0.020062452990855406,0.0023225012570729717,0.002704642902430107,0.0019630120976885574,0.0046108344901955155,-0.008433963679914419,-0.008112192515154555,0.33574423250685087,0.32892350891838285,116298039.0,112223349.0,1949741.0,116305090.0,112401771.0,1971163.0,-0.11359805519494584,-0.11472722921389515,0.0001742428719521085,0.0001747035407046577,-0.00011037317900208909,-0.00010802136046590389
19,250,625,-0.11669256829456635,-0.11775755175585385,-0.11858228620809134,-0.11657723260871732,-0.11774049542111958,-0.11821783670807633,0.0009724989883904572,0.0009550995208825596,0.0010455279030402778,0.0011262941153740752,0.0011617981830938826,0.0010901528368676865,0.006976198383900856,0.014271375475451924,0.004024367288178458,0.019152717423829495,0.002714360602673654,0.003216264322778012,0.001990986499464506,0.0048465041827081305,-0.008816897839240152,-0.009221559683583774,0.3890887921045437,0.4947328006847215,106172895.0,102261280.0,1783348.0,106180500.0,102428853.0,1802670.0,-0.11421348521169897,-0.1140408777331954,0.00018176615828499132,0.00018225769563001452,-0.00011685743385243156,-0.00012177485180684865
