,eLower,eUpper,dead_asymmetry_thrown_beta,dead_asymmetry_type0_beta,dead_corrected_asymmetry_type0_beta,withoutdead_asymmetry_thrown_beta,withoutdead_asymmetry_type0_beta,withoutdead_corrected_asymmetry_type0_beta,err_dead_asymmetry_thrown_beta,err_dead_asymmetry_type0_beta,err_dead_corrected_asymmetry_type0_beta,err_withoutdead_asymmetry_thrown_beta,err_withoutdead_asymmetry_type0_beta,err_withoutdead_corrected_asymmetry_type0_beta,dead_correction_misbs,dead_correction_misbs_thrown,withoutdead_correction_misbs,withoutdead_correction_misbs_thrown,err_dead_correction_misbs,err_dead_correction_misbs_thrown,err_withoutdead_correction_misbs,err_withoutdead_correction_misbs_thrown,dead_precision_type0_corrected_asymmetry,withoutdead_precision_type0_corrected_asymmetry,dead_precision_type0_correction,withoutdead_precision_type0_correction,dead_KE;1,dead_EdepType0;1,dead_EdepType1;1,withoutdead_KE;1,withoutdead_EdepType0;1,withoutdead_EdepType1;1,dead_weighted_corrected_asymmetry_type0,withoutdead_weighted_corrected_asymmetry_type0,dead_err_weight,withoutdead_err_weight,err_dead_weighted_corrected_asymmetry_type0,err_withoutdead_weighted_corrected_asymmetry_type0
0,50,600,-0.11766867241910167,-0.11901243928746048,-0.12043879617980591,-0.11701365978050919,-0.11817681469014091,-0.11954746387872009,0.0005850140100678667,0.0006078556369418395,0.0006401878063164702,0.0005274120348584585,0.0005472079376627831,0.0005315816000667363,0.011966436065986642,0.01774681341701112,0.011533304419706503,0.0206152286883462,0.0015311956953061219,0.0043060245001241984,0.0018556837769962654,0.0035653989232278475,-0.005315461683631566,-0.004446615451466384,0.1279575378051271,0.16089784067656548,174140562.0,170153895.0,2838853.0,174134216.0,170451755.0,2913373.0,-0.1176815444014996,-0.11701936294890458,0.0001455411232484778,0.0001459988793549835,-7.322714246342789e-05,-6.011878317747906e-05
1,75,600,-0.11762792904909478,-0.11899817792348133,-0.12029078777393333,-0.11738606481060387,-0.11846510061151676,-0.11971716437142188,0.0006209662140521489,0.0006469886728747873,0.0006695371639479782,0.00045650018619147737,0.0005275107509756515,0.000546940429918814,0.010856695055680474,0.016898741203140572,0.010545460442772629,0.01991953488887547,0.0013166359256154673,0.004426244947948129,0.0017654642738997692,0.003564628471597047,-0.0055659886873985955,-0.004568604951433147,0.1212741003466403,0.16741462200540866,167703507.0,163581835.0,2755425.0,167694898.0,163840245.0,2821123.0,-0.1173343846509756,-0.11696533272776749,0.00014786144853404888,0.00014828721311333377,-7.642019465875356e-05,-6.184778745421888e-05
2,100,600,-0.11770703651961974,-0.11907224590279022,-0.12025544648496975,-0.1174342251707706,-0.11854851134599016,-0.11965140059702434,0.0006686201919110689,0.0006982055364112029,0.000724328380343958,0.0004921473363469952,0.0005676667080668139,0.0005900622106384712,0.009943005874950317,0.015993239103846566,0.00929804006271076,0.0192707093400844,0.0012459219509937363,0.004582033265206975,0.0016608091584031889,0.0037324371679682074,-0.0060232480234023245,-0.004931511103875417,0.12530636777884455,0.17861927322337162,160207151.0,156007047.0,2643567.0,160201636.0,156250038.0,2702239.0,-0.11710274463208362,-0.11670003101615188,0.00015083692972457714,0.00015125963964641783,-8.263953233936682e-05,-6.669477605557342e-05
3,125,600,-0.11775661175317613,-0.11896157566187945,-0.1200835045766168,-0.11731253779285673,-0.11845165142484242,-0.11938364907699565,0.0007334896494795528,0.0007640357629042682,0.000787722312664012,0.0005338445124566352,0.0006207054826454284,0.0006222630968561001,0.009434323582246372,0.01502888860123271,0.007865398867692957,0.018587625922596163,0.0013253697452954608,0.004696933579175795,0.0015387753390022994,0.0039307802327458894,-0.006559787836317036,-0.005212297510312956,0.1404838125108999,0.19563856390332637,151880931.0,147662099.0,2511662.0,151876794.0,147889339.0,2564498.0,-0.1167479170973698,-0.11624928657240978,0.00015448249233796573,0.00015490784911460353,-8.973729428894298e-05,-7.012982381789317e-05
4,150,600,-0.11783970354178744,-0.11927580823396579,-0.12034454276947583,-0.11722748551558303,-0.1185422804191305,-0.1193805923927641,0.0008158874196455991,0.000827951681958158,0.0008627212096094668,0.00059252131414242,0.0006903576804712658,0.0006946128388802968,0.008974981606070187,0.01527901294528907,0.007074418172047948,0.019214967571692824,0.0014449230021675395,0.0055438857544071515,0.001636658546409527,0.004503546441577229,-0.007168760541656129,-0.0058184737146806005,0.1609945363219767,0.2313488553555121,142906311.0,138716190.0,2367087.0,142902022.0,138931084.0,2414551.0,-0.11681594985874161,-0.11606326402917427,0.00015881768513304755,0.0001592587949129798,-9.847947136827497e-05,-7.834932063430207e-05
5,175,600,-0.1182299533763231,-0.11923347555494071,-0.12024842115838111,-0.11737408110461797,-0.11843940034546016,-0.11929038763548933,0.0008890933908055247,0.0009372822727074974,0.0009751634737295773,0.0006637021360503965,0.0007791638787509552,0.0007846195979742901,0.008526393523605987,0.014069268392151694,0.007186099758547838,0.01830591766526158,0.0016112267555217755,0.005629284788432409,0.0018534286054346712,0.004757533097668394,-0.008109574032952782,-0.006577391636716108,0.1889693164010045,0.25791857442975585,133443489.0,129322241.0,2213336.0,133440162.0,129522036.0,2256840.0,-0.11653468758534678,-0.11578773324464192,0.00016388996630195763,0.0001643420491676781,-0.00011127057383035018,-8.851070504238349e-05
6,190,600,-0.11763055866635624,-0.11842450518610838,-0.11931474013750457,-0.11715244661038504,-0.11813720308288365,-0.11878360746303603,0.0009499088987551216,0.0009542422079161739,0.0009610429849914504,0.0007489007371738437,0.0008753986475431687,0.000845397448032155,0.0075013362352736555,0.01269190948861033,0.005462258696721098,0.017328617898248338,0.0017479744008006475,0.005888073370651312,0.001850316370278757,0.005060961457024874,-0.008054687827203026,-0.007117122186200921,0.23302173719145117,0.33874564955875686,123637155.0,119617960.0,2054232.0,123634541.0,119807101.0,2093938.0,-0.11543605814270326,-0.11510634116778345,0.00016976698923904966,0.00017024458187359383,-0.00010852220980959038,-9.490853341818421e-05
7,200,600,-0.11763055866635624,-0.11842450518610838,-0.11931474013750457,-0.11715244661038504,-0.11813720308288365,-0.11878360746303603,0.0009499088987551216,0.0009542422079161739,0.0009610429849914504,0.0007489007371738437,0.0008753986475431687,0.000845397448032155,0.0075013362352736555,0.01269190948861033,0.005462258696721098,0.017328617898248338,0.0017479744008006475,0.005888073370651312,0.001850316370278757,0.005060961457024874,-0.008054687827203026,-0.007117122186200921,0.23302173719145117,0.33874564955875686,123637155.0,119617960.0,2054232.0,123634541.0,119807101.0,2093938.0,-0.11543605814270326,-0.11510634116778345,0.00016976698923904966,0.00017024458187359383,-0.00010852220980959038,-9.490853341818421e-05
8,225,600,-0.11669695882433043,-0.11766754080458987,-0.11866442315935731,-0.11724107943335746,-0.11843037029462777,-0.11913775637968842,0.0009458935693569284,0.001011624478317621,0.0010473423780990245,0.0008698918734311367,0.0010043064418467826,0.00096116796177761,0.008441178163079845,0.014053811248245236,0.0059628955755090685,0.021065913628839753,0.0019619718500624075,0.007770333112678215,0.0021326088991072637,0.0064072119551694135,-0.008826085782193734,-0.008067702389109938,0.2324286743103836,0.35764652794966934,113612476.0,109726879.0,1891022.0,113605164.0,109900770.0,1927055.0,-0.11460604732891831,-0.11525295771062105,0.00017655729697760663,0.00017707226118907234,-0.00011754562354156005,-0.00010826412130618438
9,250,600,-0.11666159417582928,-0.11714251542571096,-0.11817478290272646,-0.11731021079232154,-0.11823677083191059,-0.11869556268984668,0.0011170476333821173,0.0011531394925426576,0.0012024179762689716,0.0010265605399802872,0.0011818572886524881,0.0011044408441419499,0.008761027573697518,0.011854754978209153,0.00385774620942705,0.019626369060066765,0.0023155279511870696,0.00822910306689445,0.002176953936335213,0.006878524029617297,-0.010174911658257256,-0.009304819987482352,0.2642986717835224,0.5643071934113916,103483413.0,99760291.0,1724209.0,103480574.0,99927852.0,1758562.0,-0.113923095397306,-0.11462047573806193,0.00018440174675757383,0.00018495482284958158,-0.00013440795591844704,-0.00012398577369313396
10,275,600,-0.11642386304720337,-0.1171543783679841,-0.11798028802910125,-0.11784657136913547,-0.11898553032585134,-0.11920315118720337,0.0013323914609529172,0.001385340913074279,0.0014396788992562662,0.0011870271139096632,0.0013442226710314953,0.0012900897899778341,0.007023871756733508,0.009470139229991367,0.0018140737306974958,0.019525321858178107,0.0025674728243889546,0.009639518286582263,0.0022872205070059125,0.00818467657883065,-0.012202707107319083,-0.010822614814534594,0.3655352650662535,1.2608200363093818,93365342.0,89838604.0,1557428.0,93365009.0,89994186.0,1588618.0,-0.1135237567710336,-0.11489947545260025,0.0001935051601640861,0.00019409275145840517,-0.00016074429145311258,-0.0001454727003103725
11,300,600,-0.11650819050036841,-0.11745971191913694,-0.11834848673852258,-0.11805114329858071,-0.11956001566908041,-0.1195762902720794,0.0016252739656623615,0.0016824139532303501,0.0017446236818449096,0.0014432284508668542,0.0016039041745025378,0.0015595158996588724,0.00754226401301042,0.005928828883728628,0.00010594029498252599,0.0207180507949164,0.0031163145288708154,0.011922688172263975,0.002583560539714217,0.010453993429957236,-0.014741410979757228,-0.013042016072838591,0.4131802497890775,24.386948706725374,83371525.0,80063860.0,1391349.0,83366281.0,80207348.0,1418535.0,-0.11365315284139194,-0.11504527983444154,0.00020406861963388227,0.0002047371053095371,-0.00019542372253192737,-0.0001764875117943842
12,50,625,-0.11759638788270951,-0.1189556858977377,-0.12036066998228874,-0.11675882023682696,-0.11800416257897957,-0.11935088670823386,0.0005625018138629928,0.000582888859632029,0.0006160237762014266,0.000563842933787175,0.0005508308826139684,0.0005451557824874315,0.011787934016017552,0.016114461230168516,0.011323579542183633,0.02008490927861577,0.0014721175080679345,0.004113529211012644,0.001780880185080867,0.002975778271565656,-0.0051181484474295096,-0.00456767266271028,0.12488341944123608,0.15727183956685864,176837738.0,172643366.0,2881298.0,176834142.0,172952756.0,2957481.0,-0.11750586404671999,-0.11673121804290947,0.00014421369087939292,0.00014467250908531648,-7.029722693564226e-05,-6.157589154824699e-05
13,75,625,-0.11755277092908775,-0.11893823018668592,-0.12021376946138519,-0.11709826037857737,-0.1182684214110867,-0.11950005233343264,0.0005952690611326544,0.0006187068079596201,0.000641930977497745,0.0005200991381094986,0.0005398576779835216,0.0005647832852176294,0.010714138370774923,0.015288289015100022,0.010366921873533852,0.019562610451610642,0.0012611365351718618,0.004204608858856936,0.0016875237888961518,0.0029589293977129176,-0.0053399122278080195,-0.0047262178901960146,0.11770769533944776,0.16277963791781838,170400683.0,166071306.0,2797870.0,170394824.0,166341246.0,2865231.0,-0.11715949339026507,-0.1166572266432717,0.00014646843489991994,0.00014689630776829458,-7.309164144454526e-05,-6.378833387162243e-05
14,100,625,-0.11762147877675058,-0.1190034359418117,-0.12017288460193465,-0.1171183387668837,-0.11832987817817912,-0.1194171455472955,0.0006392972086921865,0.0006658048901706395,0.0006919512405032689,0.000560170414947153,0.0005807096559697692,0.0006062826684069451,0.009828476435556238,0.014402567295533396,0.009161656964964343,0.01907156362487169,0.0011871965760361768,0.004324429148639661,0.0015790686408444603,0.0030677732783325378,-0.005757964808744628,-0.005077015244572439,0.1207915167544468,0.1723562284511496,162904327.0,158496518.0,2686012.0,162901562.0,158751039.0,2746347.0,-0.11692128820754072,-0.11637454974217734,0.00014935725809287216,0.00014978255515222781,-7.874688425893206e-05,-6.841990521713512e-05
15,125,625,-0.11765906394792292,-0.11889013673314926,-0.11999964319233755,-0.11696721239918588,-0.11821261283094192,-0.119135302863606,0.0006987888575161294,0.0007251694534810185,0.0007486774814049495,0.0006038505566047738,0.0006310434750189006,0.0006358177951717393,0.009330784652804153,0.013480616401679652,0.007784333174839339,0.018565607791623185,0.0012560850531554064,0.004406476965923351,0.0014539072575683138,0.003197285358077758,-0.006238997562725716,-0.005336938589056727,0.13461730174834963,0.18677351353198227,154578107.0,150151570.0,2554107.0,154576720.0,150390340.0,2608606.0,-0.1165633036557324,-0.11590877787845853,0.00015289235590692677,0.0001533207469752291,-8.506668377289426e-05,-7.152074843979836e-05
16,150,625,-0.11772503396027097,-0.11917888136791402,-0.12023623548449838,-0.11684127809420569,-0.11826672492397695,-0.1190992428799583,0.0007741460239011969,0.0007839788067492992,0.0008177552483916898,0.0006649958632603303,0.0007002284925114447,0.0007060180358928441,0.00888129326060456,0.013319230190122011,0.007024555140119369,0.018998224921171446,0.0013615800392718647,0.005118297242268559,0.0015374579448339937,0.003559231839057328,-0.00680123795540089,-0.005927980890730339,0.1533087580061713,0.21886908340331818,145603487.0,141205661.0,2409532.0,145601948.0,141432085.0,2458659.0,-0.11660460513380597,-0.1156883851748598,0.00015708960766577505,0.00015753395944750803,-9.308302228419306e-05,-7.944352560398693e-05
17,175,625,-0.11807634657511742,-0.11912428206669759,-0.12012908460863504,-0.11692237600296063,-0.11812801024918937,-0.11897165742358067,0.0008426566598217036,0.0008823436745900077,0.000918634772571931,0.0007462637964273685,0.0007839661832348701,0.0007912386191284405,0.008443225975671528,0.01220553964796785,0.007122276426679527,0.01836111029995216,0.0015087532465642964,0.005162591564207844,0.0017313970594060265,0.0037141134822919067,-0.007647063786132424,-0.006650648030491452,0.17869393178764215,0.24309602094638444,136140665.0,131811712.0,2255781.0,136140088.0,132023037.0,2300948.0,-0.11630926221241122,-0.11537380180028027,0.00016199102980601408,0.00016244682989938685,-0.0001045080405803865,-8.898889372183545e-05
