,eLower,eUpper,dead_asymmetry_thrown_beta,dead_asymmetry_type0_beta,dead_corrected_asymmetry_type0_beta,err_dead_asymmetry_thrown_beta,err_dead_asymmetry_type0_beta,err_dead_corrected_asymmetry_type0_beta,dead_correction_misbs,dead_correction_misbs_thrown,err_dead_correction_misbs,err_dead_correction_misbs_thrown,threshold,thickness,dead_precision_type0_corrected_asymmetry,dead_precision_type0_correction,n_KE,n_Type0,n_Type1,weighted_corrected_asymmetry_type0,dead_err_weight,err_dead_weighted_corrected_asymmetry_type0
27,125,650,-0.11700832606279649,-0.11850974678796822,-0.11936806649708437,0.0005754196227860882,0.0006430127468112693,0.00062782812506078,0.007242874595034235,,0.0014361538695800951,,0,dead_layer_0,-0.005259598680658156,0.19828506634157825,156636579.0,152197209.0,2724850.0,-0.11598495498668066,0.00015196488399990505,-7.065330941765044e-05
28,150,650,-0.11689308858757297,-0.11858189905867061,-0.11934775563021198,0.0006316162237966911,0.0007100934047018392,0.0006946282938191991,0.006464004577596576,,0.001508721997594574,,0,dead_layer_0,-0.005820204076324995,0.23340360909143132,147661807.0,143248979.0,2564459.0,-0.11578108440708278,0.0001560807248327161,-7.820162094611239e-05
29,175,650,-0.1169778770894122,-0.11847678775887294,-0.11924863435497202,0.0007052283155338482,0.0007934883946278964,0.0007764126700777283,0.006519288174459875,,0.0016921849488347183,,0,dead_layer_0,-0.006510872634117979,0.2595659071283371,138199947.0,133848708.0,2397788.0,-0.11549407930798568,0.00016087034173940253,-8.738345214077062e-05
30,190,650,-0.11671895653870099,-0.11820239328224419,-0.11877084336787187,0.0007843295370174017,0.0008858884626844651,0.0008341581072891589,0.004806395944800341,,0.0016319704380110967,,0,dead_layer_0,-0.007023256580788101,0.3395414062332081,128394326.0,124141112.0,2227154.0,-0.11483641861919536,0.00016640624863882212,-9.344431765455717e-05
31,200,650,-0.11671895653870099,-0.11820239328224419,-0.11877084336787187,0.0007843295370174017,0.0008858884626844651,0.0008341581072891589,0.004806395944800341,,0.0016319704380110967,,0,dead_layer_0,-0.007023256580788101,0.3395414062332081,128394326.0,124141112.0,2227154.0,-0.11483641861919536,0.00016640624863882212,-9.344431765455717e-05
32,225,650,-0.11672416435183602,-0.11845081216310925,-0.11906235570185797,0.0009004739604041638,0.0010079488734602592,0.000943560821608141,0.005159092525205952,,0.0018632416367306546,,0,dead_layer_0,-0.00792492989111433,0.3611568560996633,118364949.0,114241317.0,2053522.0,-0.11491442724740002,0.00017277689014671125,-0.00010597949305244974
33,250,650,-0.11669085885803655,-0.1182700403296538,-0.11867256293411294,0.0010467061295092153,0.0011687249688796244,0.0010746954071532914,0.0033917584059584786,,0.0019109085382285952,,0,dead_layer_0,-0.009055972000452732,0.5633975977981223,108240359.0,104274235.0,1879018.0,-0.11432418397137782,0.0001800872331072985,-0.0001203274750264773
34,275,650,-0.1170296237302538,-0.11889164196850278,-0.11908388762691599,0.0012167847577100469,0.0013299423475852913,0.0012446755675436798,0.001614398776907732,,0.0019920603377735716,,0,dead_layer_0,-0.010452090474600457,1.2339332550717266,98124794.0,94345977.0,1703585.0,-0.114497929270757,0.00018850142884730512,-0.00013983964155810544
35,300,650,-0.11703231466790721,-0.11935339720857796,-0.11936213007142159,0.001453092613341805,0.0015671085778169887,0.0014794019979579988,6.30166718089397e-05,,0.0021969245692856575,,0,dead_layer_0,-0.0123942325515872,34.86259280633726,88126066.0,84564086.0,1528468.0,-0.11453761515353336,0.00019821826209698046,-0.0001666230980671108
36,50,675,-0.11694493026162793,-0.11839830669668135,-0.11959803079266496,0.0005502056338420821,0.0005388377347779001,0.0005209473067014309,0.010099887446215098,,0.0015466730881009705,,0,dead_layer_0,-0.004355818429858136,0.15313765587363862,180373163.0,176048282.0,3149503.0,-0.11673037996030353,0.00014272721835875498,-5.876885131167166e-05
